LUN,label,size_in_kb,type,bootable,readonly,filename,system,sparse
0,ssd,8,2C86E742-745E-4FDD-BFD8-B6A7AC638772,false,false,,,
0,vbmeta_a,64,ca51803e-4d9a-4fa5-b8f1-f5fa05f20f89,false,true,host_vbmeta_la.img,,
0,system_a,3145728,97D7B011-54DA-4835-B3C4-917AD6E73D74,false,false,system_la.img,,
0,ifs2_a,262144,133e4a08-4def-11e6-beb8-9e71128cae77,false,true,ifs2_la.img,,
0,bluetooth_a,2048,6cb747f1-c2ef-4092-add0-ca39f79c7af4,false,true,BTFM.bin,,
0,la_vbmeta_a,64,4b7a15d6-322c-42ac-8110-88b7da0c5d77,false,true,vbmeta.img,,
0,la_boot_a,65536,8E2F94FF-389A-4B97-A0D3-A13B5CEC7C36,false,false,boot.img,,
0,la_dtbo_a,8192,24d0d418-d31d-4d8d-ac2c-4d4305188450,false,false,,,
0,la_vendor_boot_a,65536,8E2F94FF-389A-4B97-A0D3-A13B5ECE7C36,false,true,vendor_boot.img,,
0,la_persist,32768,ac15448d-5948-4d1b-9309-f737870383d5,false,false,persist.img,,
0,vbmeta_mos_a,64,62c7e992-fd44-fc4b-b19c-f4e298318ff9,false,true,,,
0,sys_mos_a,3145728,756368f8-6673-354a-aac9-7b1518b637e5,false,false,,,
0,ifs2_mos_a,262144,a2e4c57f-b7bc-8e44-aa15-cc2ae9d79795,false,true,,,
0,last_parti,0,00000000-0000-0000-0000-000000000000,,true,,true,
1,xbl_a,5120,DEA0BA2C-CBDD-4805-B4F9-F428251C3E98,,,xbl.elf,true,
1,xbl_bkup_a,5120,7A3DF1A3-A31A-454D-BD78-DF259ED486BE,,,xbl.elf,true,
1,xbl_config_a,224,5A325AE4-4276-B66D-0ADD-3494DF27706A,,,xbl_config.elf,true,
1,smss_a,1536,DF2E6DD2-296D-4CAA-867B-2E92E2F9B6C3,,,smss.elf,true,
1,last_parti,0,00000000-0000-0000-0000-000000000000,,true,,true,
2,xbl_b,5120,DEA0BA2C-CBDD-4805-B4F9-F428251C3E98,,,xbl.elf,true,
2,xbl_bkup_b,5120,7A3DF1A3-A31A-454D-BD78-DF259ED486BE,,,xbl.elf,true,
2,xbl_config_b,224,A4CDBB5A-5A73-436E-B129-689EC01DBFE3,,,xbl_config.elf,true,
2,smss_b,1536,FDF56B51-D67E-4081-A4E2-975A0997200D,,,smss.elf,true,
2,last_parti,0,00000000-0000-0000-0000-000000000000,,true,,true,
3,ALIGN_TO_128K_1,104,50d0abe4-f594-4641-981b-df602e400f34,,true,,true,
3,cdt,16384,A19F205F-CCD8-4B6D-8F1E-2D9BC24CFFB1,,,,true,
3,ddr,800,20A0C19C-286A-42FA-9CE7-F64C3226A794,,,,true,
3,oemcfg,2048,FC32BEF1-5BFE-8543-8C42-F3D2EDA58461,false,true,,true,
3,last_parti,0,00000000-0000-0000-0000-000000000000,,true,,true,
4,aop_a,256,D69E90A5-4CAB-0071-F6DF-AB977F141A7F,false,true,aop.mbn,,
